Name,Description,Price,Category,Stock,Image URL
Smartphone A,Latest 5G smartphone with 64MP camera,499.99,Electronics,50,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
Wireless Headphones,Noise-cancelling Bluetooth headphones,199.99,Electronics,100,https://images.unsplash.com/photo-1585386959984-a4155224a1a5
Gaming Laptop,High performance laptop with RTX 4060,1499.00,Electronics,30,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
Smartwatch X,Fitness tracking with heart-rate monitor,129.99,Wearables,70,https://images.unsplash.com/photo-1603791440384-56cd371ee9a7
LED TV 55",4K UHD Smart TV with HDR,799.99,Electronics,25,https://images.unsplash.com/photo-1611162617213-7b18d1f7b84e
Tablet Z10,10-inch tablet with stylus support,349.99,Electronics,60,https://images.unsplash.com/photo-1611078489935-0cb964de46fc
Bluetooth Speaker,Portable waterproof speaker with bass,89.99,Audio,80,https://images.unsplash.com/photo-1585386959984-a4155224a1a5
DSLR Camera,24MP DSLR with dual lens kit,899.99,Photography,15,https://images.unsplash.com/photo-1519183071298-a2962be96c87
Office Chair,Ergonomic mesh back office chair,149.99,Furniture,40,https://images.unsplash.com/photo-1578898888578-0c41e157ea99
Electric Kettle,1.8L fast boil stainless steel kettle,29.99,Home Appliances,90,https://images.unsplash.com/photo-1600180758890-d3f5a2bd4c9a
