name,description,price,category,stock,image_url
Men's Casual Shirt,Comfortable cotton casual shirt for men,29.99,Clothing,150,https://images.unsplash.com/photo-1520975911370-685b96403b4a
Women's Running Shoes,Lightweight running shoes with breathable fabric,59.99,Footwear,200,https://images.unsplash.com/photo-1542291026-7eec264c27ff
Wireless Headphones,Noise-cancelling over-ear wireless headphones,89.99,Electronics,120,https://images.unsplash.com/photo-1580894908361-967195033215
Smartphone 128GB,Latest model smartphone with 128GB storage,699.99,Electronics,80,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
Steel Water Bottle,Keeps drinks cold 24 hours, hot 12 hours,19.99,Home & Kitchen,300,https://images.unsplash.com/photo-1580910051073-dc04f3f1f971
Bluetooth Speaker,Portable speaker with rich bass and 10-hour battery,49.99,Electronics,160,https://images.unsplash.com/photo-1585386959984-a4155223f3f9
Yoga Mat,Non-slip yoga mat for all types of workouts,25.99,Sports,140,https://images.unsplash.com/photo-1599058917212-dcda053e3d74
Laptop Backpack,Durable and waterproof backpack for laptops up to 15.6",39.99,Accessories,110,https://images.unsplash.com/photo-1592503257705-c7c9a9f9333a
Desk Lamp,LED desk lamp with brightness control and USB charging,24.99,Home & Kitchen,95,https://images.unsplash.com/photo-1616627568773-3c4ed4f4fc94
Gaming Mouse,Ergonomic gaming mouse with customizable DPI,34.99,Electronics,130,https://images.unsplash.com/photo-1570816005364-9eaa4f0d55fa
Digital Watch,Water-resistant watch with LED backlight and stopwatch,44.99,Accessories,90,https://images.unsplash.com/photo-1598300053651-85007d7c9633
Sunglasses,UV400-protection polarized sunglasses for men & women,19.99,Fashion,210,https://images.unsplash.com/photo-1580327334946-7f4f4228eac2
Camping Tent,Waterproof camping tent for 2-3 people,79.99,Outdoor,75,https://images.unsplash.com/photo-1610393982555-8f4d3b705e52
Electric Kettle,Stainless steel electric kettle 1.7L,29.99,Home Appliances,100,https://images.unsplash.com/photo-1601044975792-b24446af9e59
Action Camera,4K waterproof action camera with wide angle lens,99.99,Electronics,60,https://images.unsplash.com/photo-1555617980-9e1c36c7b5dc
Wireless Charger,Fast wireless charging pad for smartphones,18.99,Electronics,180,https://images.unsplash.com/photo-1601044794358-91b94db2b8aa
Mechanical Keyboard,RGB backlit mechanical keyboard with blue switches,69.99,Electronics,85,https://images.unsplash.com/photo-1593642532400-2682810df593
Coffee Maker,Brew fresh coffee in minutes with programmable settings,59.99,Home Appliances,70,https://images.unsplash.com/photo-1586201375761-83865001e31b
Fitness Tracker,Track steps, heart rate, and sleep with this band,39.99,Fitness,125,https://images.unsplash.com/photo-1519862170344-6cd5e0e46e4a
Table Fan,Quiet oscillating fan with adjustable speed settings,22.99,Home Appliances,115,https://images.unsplash.com/photo-1567443027805-842b1b114e4e
